"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 01 20:40:37 GMT 2023","Wed Feb 01 20:40:39 GMT 2023","1951","","lesson10.StepAnnotations","","lesson10.StepAnnotations","testIssueNameInRepository","testIssueNameInRepository()",""
"passed","Wed Feb 01 20:40:32 GMT 2023","Wed Feb 01 20:40:35 GMT 2023","3227","","lesson10.LambdaSteps","","lesson10.LambdaSteps","testIssueNameInRepository","testIssueNameInRepository()",""
"passed","Wed Feb 01 20:40:35 GMT 2023","Wed Feb 01 20:40:37 GMT 2023","1447","","lesson10.ListenerSelenide","","lesson10.ListenerSelenide","testIssueNameInRepository","testIssueNameInRepository()",""
"passed","Wed Feb 01 20:40:23 GMT 2023","Wed Feb 01 20:40:32 GMT 2023","9163","","SearchAndOpenPageYanaOnBehance","","SearchAndOpenPageYanaOnBehance","searchAndOpenPageYanaOnBehance","searchAndOpenPageYanaOnBehance()",""
